snap,cloud,time_value,c_coord_X,c_coord_Y,c_coord_Z,Peak_Density
499,cloud-0,4.290493774414062,228.28803744278932,181.16277920258247,69.5589978681947,48791672548494.89
499,cloud-1,4.290493774414062,105.7810525054474,205.00014695465524,36.83592505476611,14240.940021407423
499,cloud-2,4.290493774414062,210.12027358104444,212.4745535795115,64.20455728218667,10611.682187835442
499,cloud-3,4.290493774414062,133.28920943248036,215.74020293094927,27.25141867177581,8408.34500544986
499,cloud-4,4.290493774414062,140.45891511493642,218.81170935821422,38.43528602396026,7417.7327071307145
499,cloud-5,4.290493774414062,137.9584286095913,220.80902770456623,36.18295652250765,6667.600430171501
498,cloud-0,4.290493392944336,228.28803792638294,181.1627806201952,69.55899741284568,48649741639093.15
498,cloud-1,4.290493392944336,105.78105289827062,205.00014704099368,36.83592492023335,14240.892732851311
498,cloud-2,4.290493392944336,210.1202734511266,212.4745544331329,64.20455731703473,10611.675702278944
498,cloud-3,4.290493392944336,133.289208839566,215.74020344585333,27.251419876962615,8408.298462788867
498,cloud-4,4.290493392944336,140.4589140741323,218.8117094504689,38.435286847188124,7417.7551013987795
498,cloud-5,4.290493392944336,137.95842803071702,220.80902777183502,36.18295737731145,6667.600494810402
497,cloud-0,4.290493011474609,228.28803840860238,181.16278203905065,69.55899696016832,48466689275936.32
497,cloud-1,4.290493011474609,105.78105329109573,205.00014712733102,36.835924785698694,14240.845445471012
497,cloud-2,4.290493011474609,210.12027332123262,212.4745552867439,64.2045573519049,10611.66921555379
497,cloud-3,4.290493011474609,133.28920824665397,215.74020396075647,27.25142108214976,8408.251919858334
497,cloud-4,4.290493011474609,140.45891303332803,218.811709542723,38.4352876704167,7417.77749597586
497,cloud-5,4.290493011474609,137.95842745184405,220.80902783910264,36.18295823211565,6667.60056019639
496,cloud-0,4.290492630004883,228.28803888917304,181.1627834596623,69.55899650907395,48247179584658.07
496,cloud-1,4.290492630004883,105.78105368392133,205.00014721366801,36.8359246511621,14240.798155163282
496,cloud-2,4.290492630004883,210.12027319136547,212.47455614034766,64.20455738679725,10611.662729069982
496,cloud-3,4.290492630004883,133.28920765374423,215.74020447565954,27.251422287339256,8408.205375257954
496,cloud-4,4.290492630004883,140.45891199252384,218.81170963497726,38.435288493645,7417.799890611304
496,cloud-5,4.290492630004883,137.95842687297264,220.80902790636895,36.18295908691917,6667.600626010195
495,cloud-0,4.290492248535156,228.28803936789046,181.1627848819952,69.55899605970369,48015048596228.1
495,cloud-1,4.290492248535156,105.7810540767475,205.00014730000436,36.835924516624544,14240.750868482373
495,cloud-2,4.290492248535156,210.12027306152078,212.47455699394072,64.20455742170964,10611.656242788826
495,cloud-3,4.290492248535156,133.28920706083653,215.7402049905616,27.251423492528957,8408.158830251761
